,date,amount
0,2020-12-01,0
0,2020-12-01,20
0,2021-01-01,20
0,2021-02-01,18
0,2021-03-01,20
0,2021-04-01,20
0,2021-05-01,20
0,2021-06-01,20
0,2021-07-01,20
0,2021-08-01,20
0,2021-09-01,20
0,2021-10-01,18
0,2021-11-01,20
0,2021-12-01,20
0,2022-01-01,20
0,2022-02-01,20
0,2022-03-01,20
0,2022-04-01,18
0,2022-05-01,20
0,2022-06-01,20
0,2022-07-01,18
0,2022-08-01,20
0,2022-09-01,20
0,2022-10-01,20
0,2022-11-01,20
0,2022-12-01,20
